epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2895793318748474,4.296694278717041,1e-04,0.18359375,5.469627380371094
1,0.35454705357551575,3.4587273597717285,1e-04,0.4108538031578064,3.0790135860443115
2,0.38854947686195374,2.9122960567474365,1e-04,0.4393136203289032,2.614654302597046
3,0.41605865955352783,2.491759777069092,1e-04,0.4369419515132904,2.278877019882202
4,0.43529412150382996,2.1750283241271973,1e-04,0.4662388265132904,2.0236728191375732
5,0.459905743598938,1.9364662170410156,1e-04,0.4642857015132904,1.8741708993911743
6,0.48444753885269165,1.7525644302368164,1e-04,0.5242745280265808,1.5930347442626953
7,0.5006109476089478,1.6197906732559204,1e-04,0.5361328125,1.4875181913375854
8,0.5192180275917053,1.5143916606903076,1e-04,0.5601283311843872,1.3902709484100342
9,0.5366032719612122,1.4322766065597534,1e-04,0.5735211968421936,1.3089783191680908
10,0.5513702034950256,1.3599683046340942,1e-04,0.5744977593421936,1.2758318185806274
11,0.5657182931900024,1.297994613647461,1e-04,0.5789620280265808,1.2531338930130005
12,0.5763309597969055,1.2571886777877808,1e-04,0.5980747938156128,1.1969598531723022
13,0.5876069068908691,1.214866280555725,1e-04,0.6026785969734192,1.1640987396240234
14,0.5988130569458008,1.1791362762451172,1e-04,0.6008649468421936,1.1586885452270508
15,0.6068772673606873,1.1501044034957886,1e-04,0.5901227593421936,1.2145625352859497
16,0.6171059608459473,1.1266052722930908,1e-04,0.6171875,1.122835397720337
17,0.6273695230484009,1.0911474227905273,1e-04,0.6178850531578064,1.1236852407455444
18,0.6374585628509521,1.0717867612838745,1e-04,0.6231864094734192,1.1097173690795898
19,0.6461162567138672,1.0443978309631348,1e-04,0.6234654188156128,1.1160056591033936
